Posted Date,Type,Trip date,Description,Plate / Pass,Amount,Balance
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 01,AFE0074> MS,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 02,AFE0075< MO,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 02,AFE0076; MT,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 03,AFE0077: NE,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 03,AFE0078/ NV,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 04,AFE0079? NH,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 04,AFE0 080 NJ,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 05,AFE0081[ NM,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 05,AFE0082] NY,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 06,AFE0083{ NC,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 06,AFE0084} ND,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 07,AFE0085= OH,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 07,AFE0086+ OK,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 08,AFE0087- OR,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 08,AFE0088_ PA,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 08,AFE0089) RI,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 06,AFE0090( SC,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 10,AFE0091* SD,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 10,AFE0092& TN,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 11,AFE0093^ TX,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 11,AFE0094% UT,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 11,AFE0095$ VT,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 12,AFE0096# VA,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 13,AFE0097@ WA,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 13,AFE0098! WV,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR99 Tunnel - Lane 13,AFE0099` WI,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR520 Bridge - Lane 13,AFE0100~ WY,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 14,ADO0065 ,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 14,ADO0066,4.9,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 99 Tunnel - Lane 14,ADO0067  ,2.8,
9/30/2025,Toll - Good to Go! - Reversal,9/30/2025 6:04,SR 520 Bridge - Lane 14,ADO0068  KY,4.9,
